692,229.497
692.5,227.765
693,225.167
693.5,222.569
694,220.836
694.5,218.238
695,216.506
695.5,213.908
696,212.176
696.5,209.578
697,206.98
697.5,205.248
698,202.65
698.5,200.918
699,198.32
699.5,196.588
700,193.99
700.5,191.392
701,189.66
701.5,187.061
702,185.329
702.5,182.731
703,180.133
703.5,178.401
704,175.803
704.5,174.071
705,171.473
705.5,169.741
706,167.143
706.5,164.545
707,162.813
707.5,160.215
708,158.483
708.5,155.885
709,153.286
709.5,151.554
710,148.956
710.5,147.224
711,144.626
711.5,142.894
712,140.296
712.5,137.698
713,135.966
713.5,133.368
714,131.636
714.5,129.038
715,126.44
715.5,124.708
716,122.11
716.5,120.378
717,117.779
717.5,116.047
718,113.449
718.5,110.851
719,109.119
719.5,106.521
720,104.789
720.5,102.191
721,99.5929
721.5,97.8609
722,95.2628
722.5,93.5307
723,90.9327
723.5,89.2006
